Campaign	Weekday (group)	Attribution Created On	Created On	Date	Device Created On	Device Id	Device Type	Item Id	Name	Operating System	Sale Id	User Created On	Amount	Max Of Weekday	Min of Weekday	Number of Records	Weekday
XUL7TT	Saturday	03-09-15 17:00	29-11-15 22:10	29-Nov-15	03-09-15 17:00	2058	iOS	56	dvoghai	iOS 7	2581	04-09-15 0:55	295.019056	6	6	1	6
XUL7TT	Saturday	06-10-14 0:32	23-08-15 16:33	23-Aug-15	06-10-14 0:33	1258	iOS	61	jruqeqc	iOS 7	1716	06-10-14 16:51	300.0933869	6	6	1	6
XUL7TT	Saturday	30-11-16 9:06	19-02-17 5:28	19-Feb-17	30-11-16 9:07	1742	iOS	65	bmjjhsq	iOS 7	13742	12-05-15 12:40	1244.831281	6	6	1	6
XUL7TT	Saturday	30-11-16 9:06	19-02-17 5:28	19-Feb-17	30-11-16 9:07	1742	iOS	65	nlxsexx	iOS 7	13742	30-11-16 16:35	1244.831281	6	6	1	6
XUL7TT	Saturday	03-09-15 17:00	29-11-15 22:10	29-Nov-15	03-09-15 17:00	2058	iOS	76	dvoghai	iOS 7	2581	04-09-15 0:55	295.019056	6	6	1	6
XUL7TT	Saturday	03-09-15 17:00	06-12-15 2:40	06-Dec-15	03-09-15 17:00	2058	iOS	80	dvoghai	iOS 7	2648	04-09-15 0:55	348.5263282	6	6	1	6
XUL7TT	Saturday	06-10-14 0:32	23-08-15 16:33	23-Aug-15	06-10-14 0:33	1258	iOS	96	jruqeqc	iOS 7	1716	06-10-14 16:51	300.0933869	6	6	1	6
XUL7TT	Saturday	03-11-15 19:55	13-11-16 1:11	13-Nov-16	01-02-16 20:09	3822	iOS	98	mjhbsqb	iOS 7	9960	02-02-16 8:01	1155.678203	6	6	1	6
XUL7TT	Saturday	03-11-15 19:55	13-11-16 1:11	13-Nov-16	01-02-16 20:09	3822	iOS	107	mjhbsqb	iOS 7	9960	02-02-16 8:01	1155.678203	6	6	1	6
XUL7TT	Saturday	30-11-16 9:06	11-09-16 2:33	11-Sep-16	30-11-16 9:07	1742	iOS	127	bmjjhsq	iOS 7	8024	12-05-15 12:40	748.0963096	6	6	1	6
XUL7TT	Saturday	30-11-16 9:06	11-09-16 2:33	11-Sep-16	30-11-16 9:07	1742	iOS	127	nlxsexx	iOS 7	8024	30-11-16 16:35	748.0963096	6	6	1	6
XUL7TT	Saturday	03-11-15 19:55	20-11-16 19:49	20-Nov-16	01-02-16 20:09	3822	iOS	127	mjhbsqb	iOS 7	10201	02-02-16 8:01	1136.154069	6	6	1	6
XUL7TT	Saturday	30-11-16 9:06	25-12-16 10:44	25-Dec-16	30-11-16 9:07	1742	iOS	127	bmjjhsq	iOS 7	11451	12-05-15 12:40	1179.406895	6	6	1	6
XUL7TT	Saturday	30-11-16 9:06	25-12-16 10:44	25-Dec-16	30-11-16 9:07	1742	iOS	127	nlxsexx	iOS 7	11451	30-11-16 16:35	1179.406895	6	6	1	6
XUL7TT	Saturday	03-11-15 19:55	20-11-16 19:49	20-Nov-16	01-02-16 20:09	3822	iOS	130	mjhbsqb	iOS 7	10201	02-02-16 8:01	1136.154069	6	6	1	6
