Year of User Created On	Campaign	Year of User Created On	Device Type	Attribution Created On	Created On	Date	Device Created On	Device Id	Item Id	Name	Operating System	Sale Id	User Created On	Weekday (group)	Amount	Max Of Weekday	Min of Weekday	Number of Records	Weekday
2013	5MNE1Q	2013	iOS	11-11-16 14:38	02-08-15 18:51	02-Aug-15	23-12-13 22:50	3724	40	iekxrsw	iOS 8	1557	24-12-13 14:36	Saturday	258.9109871	6	6	1	6
2013	5MNE1Q	2013	iOS	11-11-16 14:38	05-06-16 6:00	05-Jun-16	23-12-13 22:50	3724	56	iekxrsw	iOS 8	5592	24-12-13 14:36	Saturday	298.9477919	6	6	1	6
2013	5MNE1Q	2013	iOS	11-11-16 14:38	13-07-14 0:41	13-Jul-14	23-12-13 22:50	3724	63	iekxrsw	iOS 8	141	24-12-13 14:36	Saturday	244.0898384	6	6	1	6
2013	5MNE1Q	2013	iOS	11-11-16 14:38	05-06-16 6:00	05-Jun-16	23-12-13 22:50	3724	69	iekxrsw	iOS 8	5592	24-12-13 14:36	Saturday	298.9477919	6	6	1	6
2013	5MNE1Q	2013	iOS	11-11-16 14:38	13-07-14 0:41	13-Jul-14	23-12-13 22:50	3724	87	iekxrsw	iOS 8	141	24-12-13 14:36	Saturday	244.0898384	6	6	1	6
2013	5MNE1Q	2013	iOS	11-11-16 14:38	22-06-14 7:27	22-Jun-14	23-12-13 22:50	3724	92	iekxrsw	iOS 8	125	24-12-13 14:36	Saturday	269.7595562	6	6	1	6
2013	5MNE1Q	2013	iOS	11-11-16 14:38	31-05-15 2:37	31-May-15	23-12-13 22:50	3724	103	iekxrsw	iOS 8	1121	24-12-13 14:36	Saturday	284.1339914	6	6	1	6
2013	5MNE1Q	2013	iOS	11-11-16 14:38	22-06-14 7:27	22-Jun-14	23-12-13 22:50	3724	111	iekxrsw	iOS 8	125	24-12-13 14:36	Saturday	269.7595562	6	6	1	6
2013	5MNE1Q	2013	iOS	11-11-16 14:38	31-05-15 2:37	31-May-15	23-12-13 22:50	3724	113	iekxrsw	iOS 8	1121	24-12-13 14:36	Saturday	284.1339914	6	6	1	6
2013	5MNE1Q	2013	iOS	11-11-16 14:38	02-08-15 18:51	02-Aug-15	23-12-13 22:50	3724	120	iekxrsw	iOS 8	1557	24-12-13 14:36	Saturday	258.9109871	6	6	1	6
2013	5MNE1Q	2013	iOS	11-11-16 14:38	31-05-15 2:37	31-May-15	23-12-13 22:50	3724	125	iekxrsw	iOS 8	1121	24-12-13 14:36	Saturday	284.1339914	6	6	1	6
2013	5MNE1Q	2013	iOS	11-11-16 14:38	05-06-16 6:00	05-Jun-16	23-12-13 22:50	3724	126	iekxrsw	iOS 8	5592	24-12-13 14:36	Saturday	298.9477919	6	6	1	6
2016	6R883F	2016	iOS	10-12-16 20:06	19-02-17 4:40	19-Feb-17	10-12-16 20:07	806	98	juzccyc	iOS 8	13732	10-12-16 23:16	Saturday	1109.211833	6	6	1	6
2016	6R883F	2016	iOS	10-12-16 20:06	19-02-17 4:40	19-Feb-17	10-12-16 20:07	806	127	juzccyc	iOS 8	13732	10-12-16 23:16	Saturday	1109.211833	6	6	1	6
2015	CPIAHO	2015	iOS	18-03-15 0:20	03-07-16 6:11	03-Jul-16	18-03-15 0:21	1302	50	hvaezzp	iOS 8	6244	18-03-15 10:49	Saturday	717.135525	6	6	1	6
2015	CPIAHO	2015	iOS	18-03-15 0:20	19-06-16 22:53	19-Jun-16	18-03-15 0:21	1302	76	hvaezzp	iOS 8	5916	18-03-15 10:49	Saturday	690.7340372	6	6	1	6
2015	CPIAHO	2015	iOS	18-03-15 0:20	19-06-16 22:53	19-Jun-16	18-03-15 0:21	1302	97	hvaezzp	iOS 8	5916	18-03-15 10:49	Saturday	690.7340372	6	6	1	6
2015	CPIAHO	2015	iOS	18-03-15 0:20	03-07-16 6:11	03-Jul-16	18-03-15 0:21	1302	105	hvaezzp	iOS 8	6244	18-03-15 10:49	Saturday	717.135525	6	6	1	6
2015	CPIAHO	2015	iOS	18-03-15 0:20	14-06-15 3:32	14-Jun-15	18-03-15 0:21	1302	109	hvaezzp	iOS 8	1217	18-03-15 10:49	Saturday	658.8606382	6	6	1	6
2015	CPIAHO	2015	iOS	18-03-15 0:20	19-06-16 22:53	19-Jun-16	18-03-15 0:21	1302	123	hvaezzp	iOS 8	5916	18-03-15 10:49	Saturday	690.7340372	6	6	1	6
2015	D8IC8B	2015	iOS	20-12-15 8:35	18-12-16 15:58	18-Dec-16	20-12-15 8:35	1586	5	klllewv	iOS 8	11199	20-12-15 9:53	Saturday	1113.581031	6	6	1	6
2015	D8IC8B	2015	iOS	28-09-15 9:03	30-10-16 6:25	30-Oct-16	28-09-15 9:04	3864	10	acyrnbn	iOS 8	9510	29-09-15 1:05	Saturday	255.3853607	6	6	1	6
2015	D8IC8B	2015	iOS	28-09-15 9:03	30-10-16 6:25	30-Oct-16	28-09-15 9:04	3864	12	acyrnbn	iOS 8	9510	29-09-15 1:05	Saturday	255.3853607	6	6	1	6
2015	D8IC8B	2015	iOS	20-12-15 8:35	25-12-16 7:51	25-Dec-16	20-12-15 8:35	1586	31	klllewv	iOS 8	11450	20-12-15 9:53	Saturday	1067.67749	6	6	1	6
2015	D8IC8B	2015	iOS	20-12-15 8:35	10-07-16 10:27	10-Jul-16	20-12-15 8:35	1586	56	klllewv	iOS 8	6414	20-12-15 9:53	Saturday	1005.373924	6	6	1	6
2015	D8IC8B	2015	iOS	20-12-15 8:35	27-12-15 4:59	27-Dec-15	20-12-15 8:35	1586	62	klllewv	iOS 8	2889	20-12-15 9:53	Saturday	1065.357994	6	6	1	6
2015	D8IC8B	2015	iOS	20-12-15 8:35	27-12-15 4:59	27-Dec-15	20-12-15 8:35	1586	65	klllewv	iOS 8	2889	20-12-15 9:53	Saturday	1065.357994	6	6	1	6
2015	D8IC8B	2015	iOS	20-12-15 8:35	25-12-16 7:51	25-Dec-16	20-12-15 8:35	1586	66	klllewv	iOS 8	11450	20-12-15 9:53	Saturday	1067.67749	6	6	1	6
2015	D8IC8B	2015	iOS	26-03-15 9:25	03-04-16 9:04	03-Apr-16	26-03-15 9:25	177	71	jdayvwr	iOS 8	4354	26-03-15 10:10	Saturday	496.3411307	6	6	1	6
2015	D8IC8B	2015	iOS	20-12-15 8:35	19-06-16 8:23	19-Jun-16	20-12-15 8:35	1586	77	klllewv	iOS 8	5918	20-12-15 9:53	Saturday	1042.452394	6	6	1	6
2015	D8IC8B	2015	iOS	20-12-15 8:35	25-12-16 7:51	25-Dec-16	20-12-15 8:35	1586	79	klllewv	iOS 8	11450	20-12-15 9:53	Saturday	1067.67749	6	6	1	6
2015	D8IC8B	2015	iOS	26-03-15 9:25	05-07-15 4:36	05-Jul-15	26-03-15 9:25	177	86	jdayvwr	iOS 8	1357	26-03-15 10:10	Saturday	452.0562533	6	6	1	6
