Campaign	Year of Date	Attribution Created On	Created On	Date	Device Created On	Device Id	Device Type	Item Id	Name	Operating System	Sale Id	User Created On	Weekday (group)	Amount	Max Of Weekday	Min of Weekday	Number of Records	Weekday
ZBW0OM	2015	07-09-15 16:42	08-11-15 0:33	08-Nov-15	07-09-15 16:43	2177	iOS	79	gtqhlny	iOS 7	2357	07-09-15 17:59	Saturday	1037.528635	6	6	1	6
15R3D0	2016	12-02-16 4:11	30-10-16 15:27	30-Oct-16	12-02-16 4:11	3787	iOS	111	qlbetgn	iOS 8	9507	12-02-16 9:21	Saturday	632.2164025	6	6	1	6
15R3D0	2017	03-04-16 10:07	26-02-17 10:12	26-Feb-17	03-04-16 10:07	2135	iOS	116	lzsmect	iOS 8	14019	03-04-16 13:55	Saturday	690.0001266	6	6	1	6
15R3D0	2016	06-04-16 16:03	10-04-16 6:45	10-Apr-16	06-04-16 16:04	4718	iOS	131	npvjuqg	iOS 8	4507	16-11-15 1:35	Saturday	206.7426299	6	6	1	6
15R3D0	2016	06-04-16 16:03	10-04-16 6:45	10-Apr-16	06-04-16 16:04	4718	iOS	131	wqhadqf	iOS 8	4507	06-04-16 16:41	Saturday	206.7426299	6	6	1	6
15R3D0	2016	06-04-16 16:03	10-04-16 6:45	10-Apr-16	06-04-16 16:04	4718	iOS	152	npvjuqg	iOS 8	4507	16-11-15 1:35	Saturday	206.7426299	6	6	1	6
15R3D0	2016	06-04-16 16:03	10-04-16 6:45	10-Apr-16	06-04-16 16:04	4718	iOS	152	wqhadqf	iOS 8	4507	06-04-16 16:41	Saturday	206.7426299	6	6	1	6
15R3D0	2016	12-02-16 4:11	30-10-16 15:27	30-Oct-16	12-02-16 4:11	3787	iOS	153	qlbetgn	iOS 8	9507	12-02-16 9:21	Saturday	632.2164025	6	6	1	6
15R3D0	2016	12-02-16 4:11	30-10-16 15:27	30-Oct-16	12-02-16 4:11	3787	iOS	156	qlbetgn	iOS 8	9507	12-02-16 9:21	Saturday	632.2164025	6	6	1	6
15R3D0	2016	12-02-16 4:11	30-10-16 15:27	30-Oct-16	12-02-16 4:11	3787	iOS	157	qlbetgn	iOS 8	9507	12-02-16 9:21	Saturday	632.2164025	6	6	1	6
15R3D0	2016	12-02-16 4:11	30-10-16 15:27	30-Oct-16	12-02-16 4:11	3787	iOS	179	qlbetgn	iOS 8	9507	12-02-16 9:21	Saturday	632.2164025	6	6	1	6
6JI9BO	2016	13-01-17 17:33	12-06-16 18:15	12-Jun-16	13-01-17 17:33	4575	iOS	84	vqhzhka	iOS 8	5756	10-05-16 20:20	Saturday	502.4747753	6	6	1	6
